order_id,order_date,delivery_date,component_id,component_name,cost_per_unit,quantity,supplier_id,supplier_name,supplier_region,geopolitical_risk,avg_quality_score,is_critical,region,delivered_on_time,shipping_cost,weather_event,defect_rate
O00068,2023-08-22,2023-09-14,C001,Semiconductor A,25.0,9531,S001,Supplier A,APAC,0.7,92.1,True,EMEA,No,452.77,Earthquake,1.68
O00069,2023-07-24,2023-08-05,C004,Semiconductor X,22.5,190,S003,Supplier C,Americas,0.5,93.2,True,EMEA,Yes,1360.46,NA,0.68
O00070,2023-04-01,2023-05-01,C002,Capacitor B,1.2,8586,S002,Supplier B,EMEA,0.3,95.4,False,APAC,No,803.91,Flood,1.18
O00071,2023-08-22,2023-09-05,C001,Semiconductor A,25.0,8802,S001,Supplier A,APAC,0.7,92.1,True,EMEA,No,1484.26,Flood,2.27
O00072,2023-11-10,2023-12-08,C004,Semiconductor X,22.5,7091,S003,Supplier C,Americas,0.5,93.2,True,EMEA,No,1279.74,Flood,0.98
O00073,2024-01-16,2024-02-05,C002,Capacitor B,1.2,4150,S002,Supplier B,EMEA,0.3,95.4,False,Americas,Yes,1291.82,NA,1.78
O00074,2023-11-17,2023-11-29,C004,Semiconductor X,22.5,1369,S003,Supplier C,Americas,0.5,93.2,True,EMEA,Yes,1127.61,NA,0.31
O00075,2023-06-13,2023-07-05,C003,Resistor X,0.8,2571,S002,Supplier B,EMEA,0.3,95.4,False,APAC,Yes,500.64,Earthquake,1.41
O00076,2023-02-02,2023-02-20,C002,Capacitor B,1.2,8990,S002,Supplier B,EMEA,0.3,95.4,False,APAC,Yes,805.7,NA,1.04
O00077,2023-07-19,2023-08-17,C004,Semiconductor X,22.5,420,S003,Supplier C,Americas,0.5,93.2,True,EMEA,Yes,1313.75,Flood,0.85
O00078,2023-01-04,2023-01-20,C004,Semiconductor X,22.5,6489,S003,Supplier C,Americas,0.5,93.2,True,Americas,Yes,1309.48,Typhoon,1.05
O00079,2024-02-14,2024-03-14,C005,Inductor Z,3.0,8099,S001,Supplier A,APAC,0.7,92.1,False,EMEA,No,485.25,Typhoon,0.51
O00080,2023-07-19,2023-08-08,C001,Semiconductor A,25.0,6724,S001,Supplier A,APAC,0.7,92.1,True,APAC,Yes,1141.44,Typhoon,1.39
O00081,2023-10-01,2023-10-11,C005,Inductor Z,3.0,9797,S001,Supplier A,APAC,0.7,92.1,False,APAC,No,933.71,NA,1.68
O00082,2023-03-11,2023-03-30,C004,Semiconductor X,22.5,4362,S003,Supplier C,Americas,0.5,93.2,True,EMEA,Yes,692.84,NA,1.74
O00083,2023-06-22,2023-07-21,C003,Resistor X,0.8,4658,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,No,1177.61,Typhoon,0.74
O00084,2023-08-29,2023-09-08,C001,Semiconductor A,25.0,953,S001,Supplier A,APAC,0.7,92.1,True,APAC,Yes,1499.88,NA,1.1
O00085,2024-02-04,2024-03-15,C001,Semiconductor A,25.0,608,S001,Supplier A,APAC,0.7,92.1,True,APAC,Yes,1434.5,NA,1.25
O00086,2023-03-20,2023-04-06,C005,Inductor Z,3.0,1974,S001,Supplier A,APAC,0.7,92.1,False,EMEA,Yes,933.16,NA,1.96
O00087,2024-01-28,2024-02-13,C003,Resistor X,0.8,1976,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,1211.13,NA,1.16
O00088,2023-10-24,2023-11-03,C001,Semiconductor A,25.0,9533,S001,Supplier A,APAC,0.7,92.1,True,EMEA,No,1080.55,Typhoon,1.24
O00089,2023-02-08,2023-03-03,C002,Capacitor B,1.2,4078,S002,Supplier B,EMEA,0.3,95.4,False,Americas,Yes,332.47,NA,1.26
O00090,2024-02-17,2024-03-01,C005,Inductor Z,3.0,9372,S001,Supplier A,APAC,0.7,92.1,False,Americas,Yes,1217.43,NA,1.55
O00091,2023-12-05,2023-12-21,C004,Semiconductor X,22.5,5690,S003,Supplier C,Americas,0.5,93.2,True,EMEA,Yes,216.45,Typhoon,1.48
O00092,2023-08-10,2023-09-19,C001,Semiconductor A,25.0,7632,S001,Supplier A,APAC,0.7,92.1,True,APAC,Yes,1119.5,Typhoon,1.15
O00093,2024-05-09,2024-06-08,C005,Inductor Z,3.0,8917,S001,Supplier A,APAC,0.7,92.1,False,EMEA,Yes,1207.03,Typhoon,1.34
O00094,2023-05-18,2023-06-07,C005,Inductor Z,3.0,1519,S001,Supplier A,APAC,0.7,92.1,False,APAC,No,562.61,Typhoon,1.3
O00095,2023-10-19,2023-11-12,C004,Semiconductor X,22.5,5611,S003,Supplier C,Americas,0.5,93.2,True,APAC,Yes,237.31,NA,0.27
O00096,2023-04-19,2023-05-05,C004,Semiconductor X,22.5,5676,S003,Supplier C,Americas,0.5,93.2,True,Americas,Yes,563.56,Flood,1.15
O00097,2023-10-12,2023-10-17,C003,Resistor X,0.8,3230,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,311.3,Earthquake,1.13
O00098,2023-10-12,2023-11-10,C004,Semiconductor X,22.5,7900,S003,Supplier C,Americas,0.5,93.2,True,EMEA,Yes,1039.67,Typhoon,1.0
O00099,2023-02-17,2023-03-08,C001,Semiconductor A,25.0,4086,S001,Supplier A,APAC,0.7,92.1,True,EMEA,Yes,598.07,Flood,1.38
O00100,2023-10-11,2023-11-01,C004,Semiconductor X,22.5,9117,S003,Supplier C,Americas,0.5,93.2,True,EMEA,Yes,630.03,Earthquake,0.29
O00101,2023-06-06,2023-06-19,C003,Resistor X,0.8,3255,S002,Supplier B,EMEA,0.3,95.4,False,Americas,Yes,610.21,Earthquake,0.79
O00102,2023-04-09,2023-04-20,C002,Capacitor B,1.2,4630,S002,Supplier B,EMEA,0.3,95.4,False,Americas,Yes,1141.96,Flood,0.83
O00103,2023-02-21,2023-03-04,C003,Resistor X,0.8,6012,S002,Supplier B,EMEA,0.3,95.4,False,Americas,Yes,433.27,NA,0.6
O00104,2023-03-06,2023-03-24,C005,Inductor Z,3.0,993,S001,Supplier A,APAC,0.7,92.1,False,APAC,Yes,919.37,Earthquake,1.42
O00105,2023-02-22,2023-02-27,C004,Semiconductor X,22.5,7790,S003,Supplier C,Americas,0.5,93.2,True,APAC,Yes,822.33,NA,1.2
O00106,2023-05-10,2023-06-19,C001,Semiconductor A,25.0,1969,S001,Supplier A,APAC,0.7,92.1,True,EMEA,No,1268.75,Typhoon,2.44
O00107,2023-10-23,2023-11-22,C001,Semiconductor A,25.0,2585,S001,Supplier A,APAC,0.7,92.1,True,EMEA,Yes,393.96,Flood,1.59
O00108,2023-05-08,2023-05-21,C001,Semiconductor A,25.0,6918,S001,Supplier A,APAC,0.7,92.1,True,APAC,Yes,988.21,Flood,1.63
O00109,2023-07-14,2023-08-07,C005,Inductor Z,3.0,4971,S001,Supplier A,APAC,0.7,92.1,False,EMEA,No,1318.22,Typhoon,1.46
O00110,2023-11-14,2023-11-25,C005,Inductor Z,3.0,1725,S001,Supplier A,APAC,0.7,92.1,False,Americas,Yes,1431.87,NA,0.54
O00111,2023-05-16,2023-06-11,C002,Capacitor B,1.2,4029,S002,Supplier B,EMEA,0.3,95.4,False,APAC,Yes,425.96,NA,0.99
O00112,2023-07-29,2023-08-22,C001,Semiconductor A,25.0,7799,S001,Supplier A,APAC,0.7,92.1,True,EMEA,Yes,578.64,NA,1.53
O00113,2023-12-26,2024-01-14,C003,Resistor X,0.8,3924,S002,Supplier B,EMEA,0.3,95.4,False,Americas,Yes,1401.08,Earthquake,2.23
O00114,2023-08-06,2023-08-14,C002,Capacitor B,1.2,2541,S002,Supplier B,EMEA,0.3,95.4,False,APAC,Yes,1380.93,NA,0.9
O00115,2023-03-26,2023-04-30,C001,Semiconductor A,25.0,9425,S001,Supplier A,APAC,0.7,92.1,True,APAC,Yes,1397.55,Typhoon,1.65
O00116,2023-12-19,2024-01-02,C004,Semiconductor X,22.5,4560,S003,Supplier C,Americas,0.5,93.2,True,EMEA,Yes,850.61,Typhoon,0.98
O00117,2023-11-03,2023-11-14,C001,Semiconductor A,25.0,5380,S001,Supplier A,APAC,0.7,92.1,True,APAC,No,984.83,NA,0.92
O00118,2024-05-07,2024-06-02,C002,Capacitor B,1.2,9524,S002,Supplier B,EMEA,0.3,95.4,False,Americas,No,963.26,NA,1.57
O00119,2023-10-23,2023-10-29,C003,Resistor X,0.8,2970,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,811.65,Earthquake,1.38
O00120,2023-04-03,2023-04-26,C003,Resistor X,0.8,8156,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,1459.77,Typhoon,1.4
O00121,2023-06-20,2023-07-05,C004,Semiconductor X,22.5,2734,S003,Supplier C,Americas,0.5,93.2,True,EMEA,Yes,628.74,Earthquake,0.55
O00122,2023-12-06,2023-12-23,C003,Resistor X,0.8,9112,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,No,247.71,NA,1.7
O00123,2023-06-15,2023-06-23,C003,Resistor X,0.8,6722,S002,Supplier B,EMEA,0.3,95.4,False,Americas,No,1324.38,NA,0.3
O00124,2023-08-25,2023-09-17,C005,Inductor Z,3.0,8594,S001,Supplier A,APAC,0.7,92.1,False,Americas,Yes,670.31,Typhoon,1.79
O00125,2024-01-25,2024-01-31,C004,Semiconductor X,22.5,9098,S003,Supplier C,Americas,0.5,93.2,True,EMEA,Yes,370.32,NA,2.1
O00126,2023-03-04,2023-03-09,C004,Semiconductor X,22.5,4020,S003,Supplier C,Americas,0.5,93.2,True,Americas,No,1122.72,NA,0.5
O00127,2023-10-10,2023-11-02,C001,Semiconductor A,25.0,1958,S001,Supplier A,APAC,0.7,92.1,True,Americas,Yes,799.88,NA,1.22
O00128,2023-09-13,2023-10-10,C002,Capacitor B,1.2,4579,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,740.14,Typhoon,1.05
O00129,2023-08-22,2023-09-13,C002,Capacitor B,1.2,3222,S002,Supplier B,EMEA,0.3,95.4,False,Americas,Yes,1398.43,Flood,0.75
O00130,2024-03-18,2024-03-25,C002,Capacitor B,1.2,6898,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,641.84,Flood,0.22
O00131,2023-05-25,2023-06-27,C001,Semiconductor A,25.0,9716,S001,Supplier A,APAC,0.7,92.1,True,EMEA,Yes,953.9,Earthquake,1.53
O00132,2023-08-17,2023-09-08,C002,Capacitor B,1.2,5546,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,917.49,Flood,0.47
O00133,2024-04-22,2024-05-07,C004,Semiconductor X,22.5,4012,S003,Supplier C,Americas,0.5,93.2,True,EMEA,No,943.34,NA,1.24
O00134,2023-06-12,2023-07-15,C001,Semiconductor A,25.0,6346,S001,Supplier A,APAC,0.7,92.1,True,Americas,Yes,701.9,Earthquake,1.04
O00135,2023-09-11,2023-09-17,C002,Capacitor B,1.2,9769,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,631.59,NA,1.77
O00136,2023-09-27,2023-11-05,C001,Semiconductor A,25.0,2461,S001,Supplier A,APAC,0.7,92.1,True,APAC,Yes,732.97,Earthquake,1.11
O00137,2023-08-29,2023-10-03,C001,Semiconductor A,25.0,5646,S001,Supplier A,APAC,0.7,92.1,True,Americas,No,1010.24,Typhoon,1.34
O00138,2024-03-12,2024-04-01,C001,Semiconductor A,25.0,8842,S001,Supplier A,APAC,0.7,92.1,True,Americas,No,694.01,NA,1.91
O00139,2024-03-22,2024-04-13,C004,Semiconductor X,22.5,1221,S003,Supplier C,Americas,0.5,93.2,True,EMEA,Yes,505.2,Earthquake,0.38
O00140,2024-01-18,2024-01-25,C002,Capacitor B,1.2,1712,S002,Supplier B,EMEA,0.3,95.4,False,APAC,Yes,1188.48,Earthquake,1.11
O00141,2023-03-27,2023-04-23,C004,Semiconductor X,22.5,574,S003,Supplier C,Americas,0.5,93.2,True,EMEA,Yes,259.79,NA,1.65
O00142,2023-07-11,2023-07-29,C003,Resistor X,0.8,8802,S002,Supplier B,EMEA,0.3,95.4,False,APAC,Yes,735.67,Earthquake,0.2
O00143,2023-03-31,2023-04-07,C002,Capacitor B,1.2,6367,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,1005.62,NA,1.09
O00144,2023-03-15,2023-04-01,C005,Inductor Z,3.0,4261,S001,Supplier A,APAC,0.7,92.1,False,APAC,Yes,797.44,Earthquake,1.63
O00145,2024-04-06,2024-04-20,C004,Semiconductor X,22.5,2688,S003,Supplier C,Americas,0.5,93.2,True,Americas,Yes,296.02,NA,1.39
O00146,2023-11-24,2023-12-12,C003,Resistor X,0.8,7584,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,1298.9,NA,0.38
O00147,2023-02-24,2023-03-08,C004,Semiconductor X,22.5,5981,S003,Supplier C,Americas,0.5,93.2,True,EMEA,Yes,947.26,Earthquake,0.34
O00148,2024-05-15,2024-06-20,C001,Semiconductor A,25.0,4597,S001,Supplier A,APAC,0.7,92.1,True,Americas,Yes,210.53,Earthquake,1.76
O00149,2024-04-11,2024-05-10,C001,Semiconductor A,25.0,4789,S001,Supplier A,APAC,0.7,92.1,True,Americas,Yes,1208.46,NA,1.65
O00150,2023-04-23,2023-05-18,C003,Resistor X,0.8,4206,S002,Supplier B,EMEA,0.3,95.4,False,Americas,Yes,1081.09,Earthquake,1.13
O00151,2023-11-18,2023-11-26,C002,Capacitor B,1.2,745,S002,Supplier B,EMEA,0.3,95.4,False,APAC,No,601.61,Typhoon,1.17
O00152,2023-07-06,2023-08-08,C005,Inductor Z,3.0,4935,S001,Supplier A,APAC,0.7,92.1,False,APAC,Yes,624.73,Typhoon,1.16
O00153,2023-03-09,2023-04-08,C002,Capacitor B,1.2,6094,S002,Supplier B,EMEA,0.3,95.4,False,APAC,Yes,890.11,NA,1.12
O00154,2024-04-12,2024-05-02,C003,Resistor X,0.8,4935,S002,Supplier B,EMEA,0.3,95.4,False,APAC,No,1170.53,NA,1.15
O00155,2024-05-08,2024-05-15,C004,Semiconductor X,22.5,3796,S003,Supplier C,Americas,0.5,93.2,True,Americas,Yes,1318.18,Earthquake,0.64
O00156,2024-05-10,2024-06-09,C004,Semiconductor X,22.5,1579,S003,Supplier C,Americas,0.5,93.2,True,EMEA,Yes,1227.89,NA,1.93
O00157,2023-03-05,2023-03-29,C005,Inductor Z,3.0,4395,S001,Supplier A,APAC,0.7,92.1,False,EMEA,Yes,959.93,Earthquake,1.74
O00158,2023-12-12,2023-12-29,C001,Semiconductor A,25.0,9298,S001,Supplier A,APAC,0.7,92.1,True,APAC,Yes,626.41,Flood,0.9
O00159,2023-11-22,2023-12-28,C001,Semiconductor A,25.0,5051,S001,Supplier A,APAC,0.7,92.1,True,APAC,Yes,1044.01,NA,1.83
O00160,2024-04-29,2024-05-10,C001,Semiconductor A,25.0,8171,S001,Supplier A,APAC,0.7,92.1,True,Americas,Yes,350.96,NA,1.01
O00161,2023-07-18,2023-08-06,C002,Capacitor B,1.2,8950,S002,Supplier B,EMEA,0.3,95.4,False,Americas,Yes,744.86,Earthquake,1.39
O00162,2024-03-29,2024-04-16,C002,Capacitor B,1.2,8117,S002,Supplier B,EMEA,0.3,95.4,False,APAC,Yes,1000.35,NA,1.58
O00163,2023-04-22,2023-05-11,C003,Resistor X,0.8,3968,S002,Supplier B,EMEA,0.3,95.4,False,Americas,Yes,1312.09,NA,0.59
O00164,2023-10-06,2023-10-31,C003,Resistor X,0.8,6623,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,558.65,NA,1.48
O00165,2023-12-06,2023-12-22,C001,Semiconductor A,25.0,9883,S001,Supplier A,APAC,0.7,92.1,True,EMEA,Yes,1462.42,NA,1.71
O00166,2023-03-06,2023-04-05,C002,Capacitor B,1.2,1224,S002,Supplier B,EMEA,0.3,95.4,False,APAC,Yes,1278.76,Flood,1.41
O00167,2023-04-21,2023-05-27,C005,Inductor Z,3.0,5483,S001,Supplier A,APAC,0.7,92.1,False,APAC,No,1206.68,Flood,2.45
O00168,2024-03-15,2024-03-24,C003,Resistor X,0.8,8950,S002,Supplier B,EMEA,0.3,95.4,False,APAC,No,525.85,NA,0.88
O00169,2023-03-09,2023-03-19,C001,Semiconductor A,25.0,3998,S001,Supplier A,APAC,0.7,92.1,True,APAC,Yes,965.51,NA,1.12
O00170,2023-01-27,2023-02-05,C003,Resistor X,0.8,8719,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,347.74,NA,0.56
O00171,2024-02-03,2024-02-19,C004,Semiconductor X,22.5,1886,S003,Supplier C,Americas,0.5,93.2,True,Americas,Yes,787.61,NA,0.59
O00172,2024-01-08,2024-02-12,C001,Semiconductor A,25.0,8643,S001,Supplier A,APAC,0.7,92.1,True,APAC,No,592.12,Earthquake,1.46
O00173,2023-09-03,2023-10-10,C001,Semiconductor A,25.0,1868,S001,Supplier A,APAC,0.7,92.1,True,APAC,Yes,837.35,Typhoon,1.67
